user_id,support_tickets_90d,ticket_avg_resolution_hrs_90d
9803-FTJCG,1,9.0
0278-YXOOG,0,13.6
3212-KXOCR,0,4.4
4598-XLKNJ,0,6.7
6380-ARCEH,0,11.8
3679-XASPY,0,5.9
7123-WQUHX,0,14.2
5386-THSLQ,1,11.5
3192-NQECA,0,12.6
6180-YBIQI,0,11.0
6728-DKUCO,0,20.8
9750-BOOHV,0,16.3
8597-CWYHH,1,13.2
2848-YXSMW,0,14.0
0486-HECZI,0,5.6
4549-ZDQYY,0,16.1
5712-AHQNN,1,10.1
4846-WHAFZ,1,10.7
5256-SKJGO,0,8.3
3071-VBYPO,0,5.8
9560-BBZXK,0,6.9
5299-RULOA,0,9.7
8402-OOOHJ,0,7.5
9445-ZUEQE,0,9.9
1091-SOZGA,0,1.0
2928-HLDBA,0,11.5
0404-SWRVG,0,13.6
6497-TILVL,0,9.6
7219-TLZHO,0,4.0
4622-YNKIJ,1,11.7
4412-YLTKF,0,7.3
6734-PSBAW,1,6.9
3930-ZGWVE,0,15.7
2639-UGMAZ,0,10.1
2876-GZYZC,0,13.1
6207-WIOLX,1,3.5
8587-XYZSF,1,8.8
3091-FYHKI,0,6.4
2372-HWUHI,2,7.3
7799-LGRDP,0,12.3
7850-VWJUU,0,5.9
3774-VBNXY,1,3.3
6217-KDYWC,0,6.7
0390-DCFDQ,1,9.9
3146-MSEGF,1,18.9
4080-OGPJL,0,12.1
1095-WGNGG,2,7.4
2636-SJDOU,0,7.8
1131-QQZEB,1,9.9
5716-EZXZN,0,10.6
6837-BJYDQ,0,11.5
2135-RXIHG,0,6.2
6440-DKQGE,0,12.3
3466-BYAVD,1,8.0
3780-YVMFA,0,4.3
3874-EQOEP,0,11.9
1679-JRFBR,2,21.1
9073-ZZIAY,1,12.8
3077-RSNTJ,0,13.4
6551-GNYDG,0,9.6
9167-APMXZ,0,11.7
2749-CTKAJ,1,11.9
6371-NZYEG,0,11.3
7554-NEWDD,0,12.2
8992-VONJD,0,14.6
0867-MKZVY,1,6.3
4482-EWFMI,0,3.5
4648-YPBTM,0,5.5
2907-ILJBN,0,21.6
6345-FZOQH,0,6.8
3376-BMGFE,0,15.8
5997-OPVFA,0,6.7
3445-HXXGF,0,13.0
1159-WFSGR,0,5.8
7654-YWJUF,1,14.8
1875-QIVME,0,17.7
6727-IOTLZ,1,3.3
0691-JVSYA,1,5.6
5918-VUKWP,0,3.3
1744-JHKYS,0,4.9
2656-FMOKZ,0,4.7
2070-FNEXE,0,7.5
5947-SGKCL,0,14.5
3712-PKXZA,0,6.8
6317-YPKDH,0,8.5
6582-OIVSP,0,9.5
9367-WXLCH,1,10.9
5524-KHNJP,0,13.2
1918-ZBFQJ,0,3.1
1024-GUALD,1,16.2
4827-USJHP,0,7.0
8167-GJLRN,0,14.4
0956-SYCWG,0,14.6
8017-UVSZU,0,5.4
7100-FQPRV,0,1.7
2472-OVKUP,0,9.6
2984-RGEYA,0,12.1
9680-NIAUV,1,1.0
2146-EGVDT,0,7.1
2604-IJPDU,0,10.6
9178-JHUVJ,1,6.2
6168-YBYNP,1,13.7
7255-SSFBC,1,7.7
3645-DEYGF,2,7.5
9323-HGFWY,1,8.9
8544-GOQSH,0,8.3
3363-DTIVD,1,4.9
7018-WBJNK,1,4.2
9142-KZXOP,1,9.5
7674-YTAFD,0,5.3
6348-SNFUS,0,7.2
1285-OKIPP,0,8.9
7825-ECJRF,0,17.4
1347-KTTTA,0,10.8
7841-TZDMQ,0,7.5
4195-NZGTA,0,14.1
7157-SMCFK,0,17.7
4709-LKHYG,2,6.0
2504-DSHIH,1,6.2
0699-NDKJM,0,9.4
9286-BHDQG,0,9.7
0230-WEQUW,1,6.4
2040-LDIWQ,0,16.6
6496-JDSSB,1,3.7
9408-SSNVZ,0,6.7
4443-EMBNA,0,10.1
6469-MRVET,0,13.0
0742-MOABM,0,12.3
5961-VUSRV,0,14.2
6778-JFCMK,1,18.7
6341-JVQGF,1,8.5
2232-DMLXU,0,10.6
4811-JBUVU,0,6.4
0945-TSONX,0,10.1
2651-ZCBXV,0,7.9
3316-UWXUY,1,13.9
8937-RDTHP,1,12.6
7083-MIOPC,0,4.8
1984-GPTEH,1,11.7
1251-KRREG,0,5.6
0621-JFHOL,0,13.6
9903-LYSAB,1,14.2
0094-OIFMO,0,10.7
9227-UAQFT,0,12.2
7301-ABVAD,0,12.6
6614-FHDBO,2,8.6
7576-ASEJU,1,11.7
9058-HRZSV,0,12.0
4522-AKYLR,1,9.1
0221-WMXNQ,1,2.7
0303-UNCIP,0,9.1
9947-OTFQU,0,16.2
0322-YINQP,0,8.7
0959-WHOKV,0,1.0
4075-JFPGR,0,10.0
4629-NRXKX,0,10.4
9514-JDSKI,0,9.3
3282-ZISZV,0,12.3
3675-YDUPJ,0,17.0
4111-BNXIF,0,8.6
7017-VFHAY,0,2.0
6655-LHBYW,0,10.2
4959-JOSRX,2,10.8
5046-NUHWD,0,11.6
7273-TEFQD,0,10.5
3606-TWKGI,0,10.3
7529-ZDFXI,0,14.2
7605-BDWDC,0,6.1
1950-KSVVJ,0,16.9
0123-CRBRT,0,11.2
6292-TOSSS,0,11.0
3197-ARFOY,0,11.9
6323-AYBRX,1,13.7
7014-ZZXAW,0,2.2
4385-GZQXV,0,5.4
7633-MVPUY,1,13.4
6366-ZGQGL,0,8.5
4716-HHKQH,0,8.8
5940-AHUHD,0,15.0
6432-TWQLB,0,10.2
4484-GLZOU,0,4.6
3179-GBRWV,0,12.5
8645-KWHJO,0,6.5
4130-MZLCC,0,4.4
0314-TKOSI,0,11.6
8229-MYEJZ,0,15.7
2080-SRCDE,1,15.3
9577-WJVCQ,0,7.3
9512-UIBFX,0,13.5
6202-DYYFX,1,9.9
3808-HFKDE,0,13.9
5583-SXDAG,0,2.6
3488-PGMQJ,0,6.7
3580-REOAC,0,12.8
7534-BFESC,1,7.7
3727-OWVYD,0,11.1
2294-SALNE,0,7.3
4847-TAJYI,1,6.4
1563-IWQEX,0,13.1
8203-XJZRC,0,10.3
6556-DBKZF,1,15.5
6851-WEFYX,0,8.2
2985-JUUBZ,0,3.9
6390-DSAZX,0,10.0
0895-LMRSF,0,6.7
8098-LLAZX,1,10.6
8266-VBFQL,0,9.7
8181-YHCMF,1,11.9
2240-HSJQD,0,12.3
1248-DYXUB,1,12.2
0265-EDXBD,0,10.7
4115-BNPJY,0,6.0
3167-SNQPL,0,13.0
4091-TVOCN,0,8.9
1098-TDVUQ,1,10.4
7277-OZCGZ,0,12.7
1557-EMYVT,0,21.3
2799-ARNLO,0,9.5
7563-BIUPC,1,10.3
5027-YOCXN,0,5.9
3973-SKMLN,0,9.6
2321-OMBXY,0,6.0
2840-XANRC,0,10.7
6745-JEFZB,0,8.8
5020-ZSTTY,0,11.6
9880-TDQAC,2,11.1
8705-WZCYL,3,8.9
7102-JJVTX,0,8.1
8626-PTQGE,1,11.1
4983-CLMLV,0,18.5
5701-YVSVF,0,20.0
5804-LEPIM,0,8.8
5697-GOMBF,0,9.9
2739-CACDQ,1,5.7
9385-EHGDO,0,11.7
9498-FIMXL,0,4.1
2379-GYFLQ,2,7.8
0122-OAHPZ,1,10.4
2868-SNELZ,2,1.0
4322-RCYMT,0,8.2
6680-NENYN,0,1.3
2088-IEBAU,0,2.8
7982-VCELR,0,13.9
1343-EHPYB,2,5.4
6035-BXTTY,0,7.8
6885-PKOAM,0,14.9
7520-HQWJU,1,14.2
9639-BUJXT,1,13.3
5924-SNGKP,0,13.6
0021-IKXGC,0,8.3
2034-GDRCN,0,11.8
8966-SNIZF,1,7.9
6243-OZGFH,1,6.2
4654-DLAMQ,0,3.4
0513-RBGPE,0,12.0
5160-UXJED,0,6.4
4115-NZRKS,0,4.1
0219-YTZUE,0,12.4
0623-IIHUG,1,12.1
4572-DVCGN,2,9.7
3351-NGXYI,1,4.0
8984-EYLLL,1,5.0
9057-MSWCO,0,5.8
9833-TGFHX,1,1.0
9294-TDIPC,0,13.6
5229-DTFYB,1,11.4
0104-PPXDV,1,5.1
5176-LMJXE,0,11.8
3583-KRKMD,0,2.8
1010-DIAUQ,0,13.3
9069-LGEUL,0,5.2
7302-ZHMHP,1,8.3
9571-EDEBV,1,6.7
3520-FJGCV,0,7.5
6563-VRERX,0,10.1
0259-GBZSH,0,9.9
6122-EFVKN,0,11.3
2805-EDJPQ,0,12.2
6862-CQUMB,0,14.8
7156-MXBJE,0,12.0
6158-HDPXZ,1,13.7
9601-BRXPO,0,12.4
2863-IMQDR,0,8.1
5686-CMAWK,0,10.8
5651-CRHKQ,1,7.1
6905-NIQIN,2,8.3
8204-YJCLA,0,6.4
5167-ZFFMM,2,6.1
6583-SZVGP,1,5.7
4895-TMWIR,0,4.4
0533-BNWKF,0,14.9
1708-PBBOA,0,6.9
8782-LKFPK,0,15.6
5522-JBWMO,1,12.0
3597-MVHJT,0,8.4
9774-NRNAU,0,14.5
0224-RLWWD,1,8.4
9967-ATRFS,0,12.0
3951-NJCVI,1,15.3
2977-CEBSX,0,6.1
0177-PXBAT,0,5.2
6599-CEBNN,1,12.0
2519-ERQOJ,0,11.2
5876-QMYLD,0,7.6
2277-AXSDC,0,14.4
9442-JTWDL,0,14.1
0979-PHULV,1,7.2
3067-SVMTC,2,6.8
5495-GPSRW,0,10.2
7606-BPHHN,0,9.5
4742-DRORA,0,13.7
0111-KLBQG,2,15.3
4800-VHZKI,0,15.2
7989-CHGTL,0,6.5
0334-GDDSO,0,9.6
4163-NCJAK,0,6.4
5233-AOZUF,0,6.5
5973-EJGDP,1,7.0
1996-DBMUS,0,13.5
7916-VCCPB,0,7.6
4686-GEFRM,0,13.6
5249-QYHEX,1,10.9
0578-SKVMF,0,14.2
5564-NEMQO,0,5.9
2233-FAGXV,0,12.2
5605-IYGFG,0,10.3
7663-ZTEGJ,0,9.9
3935-TBRZZ,0,9.5
8111-BKVDS,1,9.6
2055-SIFSS,0,16.1
2806-MLNTI,1,8.0
8734-DKSTZ,0,10.9
4360-PNRQB,0,8.6
6152-ONASV,0,6.4
9063-ZGTUY,1,8.1
7781-HVGMK,1,14.0
2181-UAESM,0,1.0
2957-LOLHO,1,18.2
6048-NJXHX,0,7.7
2320-SLKMB,0,18.0
4980-URKXC,1,11.5
4376-KFVRS,0,12.0
5886-VLQVU,0,5.7
3577-AMVUX,0,6.3
0771-WLCLA,0,4.0
5628-RKIFK,1,15.4
0206-TBWLC,0,11.4
2937-FTHUR,1,8.6
1910-FMXJM,1,6.6
7752-XUSCI,0,17.1
4110-PFEUZ,0,7.6
0732-OCQOC,0,11.7
5168-MSWXT,0,11.1
1090-ESELR,0,8.0
8592-PLTMQ,0,5.5
5760-WRAHC,1,9.3
8847-GEOOQ,0,11.1
0256-LTHVJ,1,12.6
4785-FCIFB,1,11.4
8313-NDOIA,1,11.1
5149-CUZUJ,0,5.4
0942-KOWSM,0,14.8
4237-CLSMM,1,17.8
1452-VOQCH,0,5.8
4719-UMSIY,0,16.0
6614-VBEGU,0,7.1
0880-TKATG,0,4.9
3811-VBYBZ,0,12.0
1480-BKXGA,0,5.5
2996-XAUVF,0,6.5
9076-AXYIK,0,8.8
5968-XQIVE,0,12.3
8896-RAZCR,1,4.5
4640-UHDOS,0,17.9
4933-IKULF,0,15.2
3583-EKAPL,2,7.8
1304-BCCFO,1,5.9
4104-PVRPS,0,16.9
9399-APLBT,0,14.3
2359-KMGLI,0,4.1
3780-DDGSE,0,15.1
4431-EDMIQ,1,7.8
0306-JAELE,1,9.2
6227-HWPWX,2,11.0
0486-LGCCH,1,10.9
0447-BEMNG,1,8.6
4612-SSVHJ,1,9.1
5168-MQQCA,4,20.4
5949-XIKAE,0,10.6
7971-HLVXI,0,13.9
9094-AZPHK,0,7.7
3649-JPUGY,1,11.7
4472-LVYGI,1,8.1
8372-JUXUI,1,4.4
3552-CTCYF,0,11.6
6778-YSNIH,0,3.8
0388-EOPEX,0,7.3
5756-OZRIO,1,8.7
6579-JPICP,0,11.8
8205-OTCHB,0,14.0
4134-BSXLX,0,8.3
0505-SPOOW,0,6.3
6235-VDHOM,1,10.6
7783-YKGDV,1,9.3
4374-YMUSQ,1,8.0
4513-CXYIX,0,7.3
3957-HHLMR,1,9.8
7803-XOCCZ,0,6.1
5736-YEJAX,0,7.5
5609-CEBID,0,13.6
8981-FJGLA,0,13.3
7218-HKQFK,0,12.8
4636-QRJKY,1,15.9
1135-LMECX,0,10.9
4332-MUOEZ,0,19.0
8535-SFUTN,0,14.2
5956-VKDTT,0,8.3
8677-HDZEE,1,5.2
2475-MROZF,1,9.4
9412-GHEEC,1,14.1
3482-ABPKK,0,9.0
6705-LXORM,1,11.7
0257-ZESQC,0,9.9
7531-GQHME,0,11.2
5174-ITUMV,0,7.4
4109-CYRBD,0,6.5
0913-XWSCN,0,10.1
6825-UYPFK,1,12.1
8397-MVTAZ,0,14.5
0750-EBAIU,1,9.2
8606-CIQUL,0,11.9
3571-DPYUH,0,15.2
7601-GNDYK,0,4.4
0356-OBMAC,1,6.4
8067-NIOYM,0,16.6
1403-GYAFU,0,7.5
4234-XTNEA,0,13.3
1297-VQDRP,0,11.3
9282-IZGQK,0,14.0
5348-CAGXB,0,9.1
0621-HJWXJ,0,10.9
5844-QVTAT,0,14.4
8905-IAZPF,0,13.0
5394-MEITZ,0,6.2
6859-QNXIQ,0,8.6
2782-LFZVW,0,5.4
2866-IKBTM,0,7.3
1342-JPNKI,0,5.9
2817-NTQDO,0,12.1
7129-AZJDE,0,11.5
6986-IJDHX,0,13.8
2560-PPCHE,0,11.7
4676-MQUEA,0,5.4
8138-EALND,1,2.5
3580-HYCSP,0,13.4
1352-HNSAW,0,1.0
2075-PUEPR,2,8.8
1982-FEBTD,0,12.9
5301-GAUUY,1,7.9
5791-KAJFD,0,9.0
2654-VBVPB,0,10.6
1154-HYWWO,0,13.6
2501-XWWTZ,0,7.4
3716-UVSPD,1,4.8
6815-ABQFQ,0,3.6
7343-EOBEU,0,15.2
3701-SFMUH,1,6.2
6103-LIANB,0,5.9
7319-VENRZ,0,15.3
5846-NEQVZ,1,9.6
6967-QIQRV,1,11.3
5781-RFZRP,0,12.6
0939-YAPAF,0,2.0
0308-IVGOK,1,9.2
7293-LSCDV,0,7.7
7025-WCBNE,0,3.8
5756-JYOJT,0,7.0
4710-FDUIZ,0,10.6
6030-REHUX,0,11.6
9548-LIGTA,0,8.3
5150-LJNSR,0,5.9
8270-RKSAP,1,14.4
6522-YRBXD,0,7.6
2640-LYMOV,1,13.6
1218-VKFPE,1,8.9
3627-FHKBK,0,9.3
2865-TCHJW,1,4.1
1423-BMPBQ,0,12.8
2393-DIVAI,3,10.2
5192-EBGOV,1,1.0
4568-KNYWR,0,10.3
8752-IMQOS,2,8.5
0742-LAFQK,0,3.8
0795-LAFGP,0,6.8
0619-OLYUR,0,6.6
5512-IDZEI,1,3.7
0459-SPZHJ,0,11.7
0215-BQKGS,1,6.3
9244-ZVAPM,1,2.3
0719-SYFRB,0,3.4
8208-EUMTE,1,12.5
5172-MIGPM,0,10.4
1710-RCXUS,1,15.4
0374-FIUCA,1,5.7
5839-SUYVZ,0,13.0
5173-ZXXXL,1,5.2
1096-ADRUX,0,9.1
2001-MCUUW,0,7.3
2731-GJRDG,0,13.9
4723-BEGSG,0,13.5
6516-NKQBO,0,5.4
8672-OAUPW,0,11.0
8207-DMRVL,0,5.8
3419-SNJJD,1,7.4
6543-CPZMK,0,7.8
4765-OXPPD,0,13.1
2804-ETQDK,0,12.9
6689-VRRTK,0,12.2
7138-GIRSH,0,3.5
9396-ZSFLL,0,8.5
6464-KEXXH,2,11.1
7134-MJPDY,1,11.2
5240-CAOYT,1,12.0
4059-IIEBK,0,7.0
4881-JVQOD,1,15.9
0516-UXRMT,0,11.7
4851-BQDNX,0,7.9
5148-HKFIR,1,12.7
1009-IRMNA,0,9.4
3003-CMDUU,0,10.2
5016-IBERQ,2,10.5
6797-UCJHZ,0,7.5
2469-DTSGX,0,7.7
4554-YGZIH,0,11.4
5099-BAILX,0,6.1
9931-KGHOA,1,5.6
1775-KWJKQ,0,8.9
7665-VIGUD,0,15.4
9411-TPQQV,0,6.9
7207-RMRDB,0,11.0
7954-MLBUN,0,9.1
2077-DDHJK,1,1.0
4913-EHYUI,0,6.7
0195-IESCP,1,15.0
9574-BOSMD,1,11.6
4580-TMHJU,0,4.0
0970-ETWGE,1,5.4
4908-XAXAY,0,14.7
8404-VLQFB,0,9.4
1626-ERCMM,0,11.6
0887-HJGAR,0,6.3
2391-IPLOP,0,11.7
5644-PDMZC,0,11.7
3509-GWQGF,0,10.0
9576-ANLXO,1,17.2
2024-BASKD,0,4.5
5845-BZZIB,0,9.1
1140-UKVZG,0,9.7
4160-AMJTL,0,12.4
5183-SNMJQ,0,13.6
8100-PNJMH,0,11.8
7838-LAZFO,1,14.6
4464-JCOLN,0,13.3
2085-JVGAD,0,7.9
5650-VDUDS,0,8.9
8095-WANWK,1,8.8
3030-ZKIWL,0,8.8
9565-FLVCG,0,5.0
8755-OGKNA,0,9.4
2800-VEQXM,0,12.3
7538-GWHML,1,13.1
5533-RJFTJ,0,8.6
3859-CVCET,0,14.5
0214-JHPFW,0,9.5
5642-MHDQT,0,3.4
3088-FVYWK,1,11.4
3276-HDUEG,0,1.7
9092-GDZKO,0,11.1
0823-HSCDJ,0,12.9
3729-OWRVL,0,4.1
2324-AALNO,0,11.7
0822-GAVAP,0,9.6
5760-IFJOZ,0,4.4
2826-UWHIS,0,8.5
1448-PWKYE,0,1.9
7501-IWUNG,0,14.7
4957-TREIR,0,5.2
7251-LJBQN,1,9.1
8040-MNRTF,0,12.8
1536-HBSWP,1,10.5
5313-FPXWG,0,9.4
0067-DKWBL,0,9.6
0946-FKYTX,0,14.0
5076-YVXCM,1,10.3
8262-COGGB,0,6.9
6663-JOCQO,0,8.7
9620-QJREV,0,5.4
2276-YDAVZ,0,8.9
2682-KEVRP,0,5.6
2480-JZOSN,0,11.3
0078-XZMHT,0,12.2
5896-NPFWW,0,6.7
9978-HYCIN,1,14.9
8338-QIUNR,0,7.6
1525-LNLOJ,0,14.5
9450-TRJUU,1,9.5
1766-GKNMI,0,12.6
6942-LBFDP,0,8.8
1456-TWCGB,0,12.0
7133-VBDCG,1,14.2
7596-ZYWBB,1,17.8
8329-UTMVM,1,5.9
3014-WJKSM,0,9.6
3347-YJZZE,0,14.2
1029-QFBEN,0,13.2
7929-DMBCV,0,5.6
9661-JALZV,1,11.9
5433-KYGHE,1,12.2
4312-KFRXN,0,11.0
5575-TPIZQ,1,9.3
0114-IGABW,0,9.9
9944-AEXBM,0,4.4
1853-ARAAQ,1,8.4
6952-OMNWB,2,12.7
4697-LUPSU,0,10.0
8434-VGEQQ,0,14.8
4952-YSOGZ,1,11.2
1589-AGTLK,0,4.1
5244-IRFIH,1,3.8
6549-YMFAW,0,10.7
4950-HKQTE,0,9.2
6786-OBWQR,0,12.4
2684-EIWEO,1,13.8
2753-JMMCV,0,10.3
6439-GTPCA,0,8.1
6621-YOBKI,0,4.3
1216-JWVUX,0,11.5
7564-GHCVB,0,14.4
1173-NOEYG,1,2.1
7595-EHCDL,1,17.9
6647-ZEDXT,1,5.7
2521-NPUZR,0,6.5
1307-TVUFB,1,10.1
7503-MIOGA,0,8.6
4381-MHQDC,0,10.4
6923-JHPMP,0,12.1
5138-WVKYJ,1,8.2
4018-PPNDW,0,6.7
1635-FJFCC,0,12.7
2499-AJYUA,1,11.2
6919-ELBGL,0,11.6
3966-HRMZA,0,10.4
6425-JWTDV,0,11.2
8405-IGQFX,0,13.4
8224-IVVPA,1,16.0
9477-LGWQI,0,12.6
1410-RSCMR,1,9.9
3115-CZMZD,2,7.3
0139-IVFJG,0,6.8
6683-VLCTZ,0,9.6
5730-DBDSI,1,1.9
0030-FNXPP,0,5.8
2189-WWOEW,0,18.8
5684-FJVYR,0,13.6
4013-GUXND,0,11.1
1894-IGFSG,1,10.6
7379-POKDZ,0,6.6
1266-NZYUI,0,10.8
7969-FFOWG,0,5.7
4718-DHSMV,0,10.5
5175-WLYXL,0,14.8
7817-OMJNA,0,12.3
8728-SKJLR,0,7.1
3137-NYQQI,0,4.2
7706-DZNKK,1,18.6
0236-HFWSV,0,14.4
3900-AQPHZ,0,11.6
5842-POCOP,0,9.4
2037-XJFUP,0,9.9
8823-RLPWL,0,9.9
9505-SQFSW,0,10.4
7314-OXENN,1,11.9
3758-CKOQL,1,18.0
0322-CHQRU,0,4.1
5676-CFLYY,0,10.3
7521-AFHAB,1,9.3
0285-INHLN,0,6.2
4678-DVQEO,0,7.7
5125-CNDSP,1,6.2
0691-IFBQW,0,11.2
4992-LTJNE,0,10.9
2202-OUTMO,0,10.4
0810-BDHAW,0,5.4
0229-LFJAF,0,1.1
7131-ZQZNK,0,12.5
3442-ZHHCC,1,4.5
5726-CVNYA,0,14.6
9871-ELEYA,0,13.7
4257-GAESD,1,4.7
5173-WXOQV,0,10.0
2040-OBMLJ,0,2.3
6286-ZHAOK,0,6.7
3807-XHCJH,1,15.3
3009-JWMPU,2,13.5
5671-RQRLP,0,17.8
1450-GALXR,1,2.6
8859-AXJZP,0,16.1
3174-AKMAS,0,11.1
3138-BKYAV,0,10.4
9926-PJHDQ,0,7.5
7382-DFJTU,0,9.2
2798-NYLMZ,1,12.9
4289-DTDKW,1,11.4
1820-TQVEV,0,3.2
2239-JALAW,0,8.2
4853-RULSV,0,1.0
8098-TDCBU,0,10.8
3551-GAEGL,1,6.9
4785-NKHCX,0,10.5
3196-NVXLZ,0,3.2
6275-YDUVO,0,10.7
0036-IHMOT,0,4.1
0115-TFERT,0,11.0
4178-EGMON,0,10.7
4220-TINQT,1,17.1
5318-YKDPV,0,4.0
7975-TZMLR,0,18.0
0295-QVKPB,1,13.1
4335-BSMJS,0,14.4
2311-QYMUQ,0,4.4
3643-AHCFP,0,10.1
9146-JRIOX,0,5.4
3104-OWCGK,0,13.2
5337-IIWKZ,0,13.9
9101-BWFSS,0,11.9
9650-VBUOG,0,13.9
3487-EARAT,0,10.0
2672-TGEFF,1,8.9
9231-ZJYAM,0,9.7
4250-WAROZ,0,6.7
8184-WMOFI,1,12.3
6982-SSHFK,0,7.1
6092-QZVPP,0,18.4
4625-LAMOB,0,12.4
0727-BMPLR,0,3.5
0392-BZIUW,0,2.0
1038-ZAGBI,1,3.3
6549-NNDYT,0,7.7
3027-ZTDHO,1,11.5
0422-OHQHQ,0,10.8
6916-HIJSE,1,10.8
2316-ESMLS,1,3.7
9778-OGKQZ,1,15.1
7408-OFWXJ,0,15.0
6007-TCTST,1,13.1
2252-NKNSI,0,10.9
8713-IGZSO,0,11.0
7905-TVXTA,0,8.6
7695-PKLCZ,1,10.2
2382-BCKQJ,0,8.6
8374-UULRV,0,16.8
2207-NHRJK,1,7.6
3224-DFQNQ,1,5.4
5275-PMFUT,0,15.3
4795-UXVCJ,0,12.4
9777-IQHWP,1,17.1
0947-MUGVO,0,4.5
9944-HKVVB,0,14.6
4124-MMETB,0,16.3
3671-SHRSP,1,6.3
0979-MOZQI,1,10.7
2732-ISEZX,2,9.1
3313-QKNKB,1,1.0
0323-XWWTN,0,19.6
1937-OTUKY,0,9.9
1573-LGXBA,1,5.8
1764-VUUMT,0,14.8
5073-WXOYN,0,17.0
4713-ZBURT,0,4.4
3050-GBUSH,0,8.9
0207-MDKNV,0,11.7
7876-AEHIG,0,11.0
7945-HLKEA,0,12.6
9342-VNIMQ,0,16.7
9851-KIELU,0,1.4
3523-BRGUW,0,13.3
3908-BLSYF,0,9.9
3199-NPKCN,1,12.2
5170-PTRKA,0,9.3
4661-NJEUX,0,10.8
2123-AGEEN,2,13.0
1258-YMZNM,0,6.4
0048-LUMLS,0,12.7
7549-MYGPK,0,15.6
5898-IGSLP,0,14.8
3804-RVTGV,0,5.7
6259-WJQLC,0,11.1
9227-LUNBG,0,11.5
7997-EASSD,1,16.3
0730-KOAVE,0,11.6
8975-SKGRX,2,6.9
0678-RLHVP,1,9.4
4315-MURBD,0,12.6
2267-FPIMA,1,8.6
1051-GEJLJ,0,13.6
9734-YWGEX,0,8.5
2719-BDAQO,1,10.3
5285-MVEHD,1,9.4
0379-DJQHR,0,8.8
0781-LKXBR,0,10.7
5543-QDCRY,0,11.5
0297-RBCSG,0,10.4
4694-PHWFW,0,8.7
0835-JKADZ,0,10.4
1907-UBQFC,0,18.4
7508-SMHXL,0,9.0
3865-YIOTT,0,9.0
5993-BQHEA,0,11.5
6024-RUGGH,1,7.7
6513-EECDB,2,1.7
3956-CJUST,0,7.7
4079-WWQQQ,0,8.9
6103-BOCOU,0,11.8
5149-TGWDZ,0,9.2
7471-WNSUF,0,14.7
8942-DBMHZ,0,11.6
4301-VVZKA,0,12.3
9199-PWQVC,0,11.2
4824-GUCBY,0,13.9
