user_id,months_active,plan_stream_tv,plan_stream_movies,contract_type,paperless_billing,monthly_fee,total_paid,net_service
9420-LOJKX,15,True,True,Month-to-month,True,99.1,1426.4,Fiber optic
6575-SUVOI,25,True,False,Month-to-month,True,69.5,1752.65,DSL
7495-OOKFY,8,False,False,Month-to-month,True,80.65,633.3,Fiber optic
4667-QONEA,60,False,True,One year,True,74.85,4456.35,DSL
1658-BYGOY,18,True,True,Month-to-month,True,95.45,1752.55,Fiber optic
8769-KKTPH,63,True,True,One year,True,99.65,6311.2,Fiber optic
5067-XJQFU,66,True,True,One year,True,108.45,7076.35,Fiber optic
3957-SQXML,34,,,Two year,False,24.95,894.3,No
5954-BDFSG,72,True,True,Two year,True,107.5,7853.7,Fiber optic
0434-CSFON,47,True,True,Month-to-month,True,100.5,4707.1,Fiber optic
1215-FIGMP,60,True,False,Month-to-month,True,89.9,5450.7,Fiber optic
0526-SXDJP,72,False,False,Two year,False,42.1,2962.0,DSL
0557-ASKVU,18,False,False,One year,True,54.4,957.1,DSL
5698-BQJOH,9,True,True,Month-to-month,False,94.4,857.25,Fiber optic
5122-CYFXA,3,True,True,Month-to-month,True,75.3,244.1,DSL
8627-ZYGSZ,47,False,False,One year,True,78.9,3650.35,Fiber optic
3410-YOQBQ,31,True,True,Two year,False,79.2,2497.2,DSL
3170-NMYVV,50,,,Two year,False,20.15,930.9,No
7410-OIEDU,10,False,False,Month-to-month,True,79.85,887.35,Fiber optic
2273-QCKXA,1,False,False,Month-to-month,False,49.05,49.05,DSL
0731-EBJQB,52,,,One year,True,20.4,1090.65,No
1891-QRQSA,64,True,True,Two year,True,111.6,7099.0,Fiber optic
8028-PNXHQ,62,,,Two year,True,24.25,1424.6,No
5630-AHZIL,3,False,True,Month-to-month,True,64.5,177.4,DSL
2673-CXQEU,56,True,True,One year,False,110.5,6139.5,Fiber optic
6416-JNVRK,46,False,True,One year,False,55.65,2688.85,DSL
5590-ZSKRV,8,False,False,Month-to-month,False,54.65,482.25,DSL
0191-ZHSKZ,30,True,True,Month-to-month,True,74.75,2111.3,DSL
3887-PBQAO,45,,,One year,True,25.9,1216.6,No
5919-TMRGD,1,True,False,Month-to-month,True,79.35,79.35,Fiber optic
8108-UXRQN,11,True,True,Month-to-month,False,50.55,565.35,DSL
9191-MYQKX,7,False,False,Month-to-month,True,75.15,496.9,Fiber optic
9919-YLNNG,42,True,True,Month-to-month,True,103.8,4327.5,Fiber optic
0318-ZOPWS,49,,,Two year,True,20.15,973.35,No
4445-ZJNMU,9,True,True,Month-to-month,True,99.3,918.75,Fiber optic
4808-YNLEU,35,True,False,One year,True,62.15,2215.45,DSL
1862-QRWPE,48,,,Two year,False,20.65,1057.0,No
2796-NNUFI,46,,,Two year,True,19.95,927.1,No
3016-KSVCP,29,True,False,Month-to-month,False,33.75,1009.25,DSL
4767-HZZHQ,30,False,False,Month-to-month,False,82.05,2570.2,Fiber optic
2424-WVHPL,1,False,False,Month-to-month,False,74.7,74.7,Fiber optic
7233-PAHHL,66,True,True,Two year,True,84.0,5714.25,DSL
6067-NGCEU,65,True,True,Month-to-month,True,111.05,7107.0,Fiber optic
9848-JQJTX,72,True,True,Two year,True,100.9,7459.05,Fiber optic
8637-XJIVR,12,False,False,Month-to-month,True,78.95,927.35,Fiber optic
9803-FTJCG,71,False,False,One year,True,66.85,4748.7,DSL
0278-YXOOG,5,,,Month-to-month,False,21.05,113.85,No
3212-KXOCR,52,,,Two year,False,21.0,1107.2,No
4598-XLKNJ,25,True,True,Month-to-month,True,98.5,2514.5,Fiber optic
6380-ARCEH,1,,,Month-to-month,False,20.2,20.2,No
3679-XASPY,1,,,Month-to-month,False,19.45,19.45,No
7123-WQUHX,38,True,False,One year,False,95.0,3605.6,Fiber optic
5386-THSLQ,66,True,False,One year,False,45.55,3027.25,DSL
3192-NQECA,68,True,True,Two year,True,110.0,7611.85,Fiber optic
6180-YBIQI,5,False,False,Month-to-month,False,24.3,100.2,DSL
6728-DKUCO,72,True,True,One year,True,104.15,7303.05,Fiber optic
9750-BOOHV,32,False,False,One year,False,30.15,927.65,DSL
8597-CWYHH,43,True,True,One year,False,94.35,3921.3,Fiber optic
2848-YXSMW,72,,,Two year,False,19.4,1363.25,No
0486-HECZI,55,True,False,Month-to-month,True,96.75,5238.9,Fiber optic
4549-ZDQYY,52,False,False,One year,False,57.95,3042.25,DSL
5712-AHQNN,43,True,False,Month-to-month,True,91.65,3954.1,Fiber optic
4846-WHAFZ,37,False,False,Month-to-month,True,76.5,2868.15,Fiber optic
5256-SKJGO,64,True,True,Two year,True,54.6,3423.5,DSL
3071-VBYPO,3,True,False,Month-to-month,False,89.85,248.4,Fiber optic
9560-BBZXK,36,False,False,Two year,False,31.05,1126.35,DSL
5299-RULOA,10,True,True,Month-to-month,True,100.25,1064.65,Fiber optic
8402-OOOHJ,41,,,Two year,False,20.65,835.15,No
9445-ZUEQE,27,False,False,Month-to-month,True,85.2,2151.6,Fiber optic
1091-SOZGA,56,True,True,One year,True,99.8,5515.45,Fiber optic
2928-HLDBA,6,,,Month-to-month,False,20.7,112.75,No
0404-SWRVG,3,False,False,Month-to-month,True,74.4,229.55,Fiber optic
6497-TILVL,7,False,False,Month-to-month,False,50.7,350.35,DSL
7219-TLZHO,4,,,Month-to-month,False,20.85,62.9,No
4622-YNKIJ,33,True,False,Two year,True,88.95,3027.65,Fiber optic
4412-YLTKF,27,False,False,Month-to-month,True,78.05,2135.5,Fiber optic
6734-PSBAW,72,,,Two year,True,23.55,1723.95,No
3930-ZGWVE,1,,,Month-to-month,False,19.75,19.75,No
2639-UGMAZ,71,True,True,One year,True,56.45,3985.35,DSL
2876-GZYZC,13,False,True,Month-to-month,True,85.95,1215.65,Fiber optic
6207-WIOLX,25,True,True,Month-to-month,True,58.6,1502.65,DSL
8587-XYZSF,67,False,False,Two year,False,50.55,3260.1,DSL
3091-FYHKI,1,False,True,Month-to-month,True,35.45,35.45,DSL
2372-HWUHI,2,False,False,Month-to-month,False,44.35,81.25,DSL
7799-LGRDP,43,,,Two year,True,25.7,1188.2,No
7850-VWJUU,23,False,False,Month-to-month,True,75.0,1778.5,Fiber optic
3774-VBNXY,64,,,Two year,False,20.2,1277.75,No
6217-KDYWC,57,,,Two year,True,19.6,1170.55,No
0390-DCFDQ,1,False,False,Month-to-month,True,70.45,70.45,Fiber optic
3146-MSEGF,72,True,True,Two year,True,88.05,6425.65,DSL
4080-OGPJL,8,False,True,Month-to-month,False,71.15,563.65,DSL
1095-WGNGG,61,True,True,Two year,True,101.05,5971.25,Fiber optic
2636-SJDOU,64,False,False,One year,True,84.3,5289.05,Fiber optic
1131-QQZEB,71,,,Two year,False,23.95,1756.2,No
5716-EZXZN,65,True,False,Two year,True,99.05,6416.7,Fiber optic
6837-BJYDQ,3,,,One year,False,19.6,61.35,No
2135-RXIHG,1,False,False,Month-to-month,True,45.65,45.65,DSL
6440-DKQGE,30,True,False,One year,False,64.5,1929.95,DSL
3466-BYAVD,15,False,True,Month-to-month,True,69.5,1071.4,DSL
3780-YVMFA,8,True,True,Month-to-month,True,68.55,564.35,DSL
3874-EQOEP,7,True,True,Month-to-month,False,95.0,655.5,Fiber optic
1679-JRFBR,70,True,True,One year,True,108.15,7930.55,Fiber optic
9073-ZZIAY,62,True,True,Two year,False,86.1,5215.25,DSL
3077-RSNTJ,6,,,Month-to-month,False,19.7,113.5,No
6551-GNYDG,14,False,True,Month-to-month,True,80.9,1152.8,Fiber optic
9167-APMXZ,22,True,False,Month-to-month,True,84.15,1821.95,Fiber optic
2749-CTKAJ,22,,,One year,False,20.15,419.9,No
6371-NZYEG,16,True,False,Two year,False,64.25,1024.0,DSL
7554-NEWDD,10,,,Two year,False,25.7,251.6,No
8992-VONJD,13,False,False,Month-to-month,True,56.0,764.55,DSL
0867-MKZVY,20,False,False,Month-to-month,False,82.4,1592.35,Fiber optic
4482-EWFMI,2,False,False,Month-to-month,True,69.7,135.2,Fiber optic
4648-YPBTM,53,False,True,Two year,True,73.9,3958.25,DSL
2907-ILJBN,11,,,One year,False,20.6,233.9,No
6345-FZOQH,69,,,Two year,False,19.9,1363.45,No
3376-BMGFE,4,False,False,Month-to-month,True,70.9,273.0,Fiber optic
5997-OPVFA,72,True,True,Two year,True,89.05,6254.45,DSL
3445-HXXGF,58,False,True,Month-to-month,True,45.3,2651.2,DSL
1159-WFSGR,16,,,Month-to-month,False,20.4,321.4,No
7654-YWJUF,43,False,False,One year,True,84.25,3539.25,Fiber optic
1875-QIVME,2,True,True,Month-to-month,True,104.4,242.8,Fiber optic
6727-IOTLZ,14,True,True,Two year,False,81.95,1181.75,DSL
0691-JVSYA,53,True,True,One year,True,94.85,5000.2,Fiber optic
5918-VUKWP,32,,,One year,False,20.55,654.55,No
1744-JHKYS,34,,,Month-to-month,False,24.7,780.2,No
2656-FMOKZ,15,False,False,Month-to-month,True,74.45,1145.7,Fiber optic
2070-FNEXE,7,False,False,Month-to-month,False,76.45,503.6,Fiber optic
5947-SGKCL,15,True,True,Month-to-month,True,105.35,1559.25,Fiber optic
3712-PKXZA,61,,,One year,True,20.55,1252.0,No
6317-YPKDH,1,False,False,Month-to-month,False,29.95,29.95,DSL
6582-OIVSP,1,False,False,Month-to-month,False,45.3,45.3,DSL
9367-WXLCH,8,False,True,Month-to-month,False,84.5,662.65,Fiber optic
5524-KHNJP,33,True,True,One year,False,74.75,2453.3,DSL
1918-ZBFQJ,13,False,False,Month-to-month,True,79.25,1111.65,Fiber optic
1024-GUALD,1,False,False,Month-to-month,True,24.8,24.8,DSL
4827-USJHP,20,False,False,Month-to-month,True,51.8,1023.85,DSL
8167-GJLRN,3,False,False,Month-to-month,False,30.4,82.15,DSL
0956-SYCWG,13,,,One year,False,19.65,244.8,No
8017-UVSZU,40,False,False,Month-to-month,False,56.6,2379.1,DSL
7100-FQPRV,43,False,True,One year,True,71.9,3173.35,DSL
2472-OVKUP,6,False,True,Month-to-month,True,91.0,531.0,Fiber optic
2984-RGEYA,69,,,Two year,False,19.75,1375.4,No
9680-NIAUV,72,True,True,Two year,False,109.7,8129.3,Fiber optic
2146-EGVDT,59,,,Two year,False,19.3,1192.7,No
2604-IJPDU,20,True,False,Month-to-month,True,96.55,1901.65,Fiber optic
9178-JHUVJ,24,,,Two year,True,24.1,587.4,No
6168-YBYNP,59,True,True,Month-to-month,True,111.35,6519.75,Fiber optic
7255-SSFBC,72,True,True,Two year,True,112.25,8041.65,Fiber optic
3645-DEYGF,1,,,Month-to-month,False,20.75,20.75,No
9323-HGFWY,27,True,True,One year,True,101.9,2681.15,Fiber optic
8544-GOQSH,14,False,False,Month-to-month,True,80.05,1112.3,Fiber optic
3363-DTIVD,71,True,True,Two year,False,105.55,7405.5,Fiber optic
7018-WBJNK,13,True,False,Month-to-month,True,78.3,1033.95,Fiber optic
9142-KZXOP,44,False,False,Month-to-month,False,68.85,2958.95,Fiber optic
7674-YTAFD,33,False,False,One year,True,79.95,2684.85,Fiber optic
6348-SNFUS,72,False,True,Two year,True,55.45,4179.2,DSL
1285-OKIPP,1,False,True,Month-to-month,False,79.9,79.9,Fiber optic
7825-ECJRF,19,True,True,Month-to-month,True,106.6,1934.45,Fiber optic
1347-KTTTA,64,True,True,One year,True,102.45,6654.1,Fiber optic
7841-TZDMQ,2,False,False,Month-to-month,True,46.0,84.5,DSL
4195-NZGTA,1,False,False,Month-to-month,False,25.25,25.25,DSL
7157-SMCFK,61,,,Two year,False,19.75,1124.2,No
4709-LKHYG,29,,,One year,False,20.0,540.05,No
2504-DSHIH,23,False,True,Month-to-month,False,86.8,1975.85,Fiber optic
0699-NDKJM,57,True,True,Month-to-month,True,58.75,3437.45,DSL
9286-BHDQG,72,False,False,Two year,False,45.25,3139.8,DSL
0230-WEQUW,66,True,False,Two year,True,56.6,3789.2,DSL
2040-LDIWQ,65,True,True,Two year,True,84.2,5324.5,DSL
6496-JDSSB,8,True,False,Month-to-month,True,80.0,624.6,Fiber optic
9408-SSNVZ,4,False,False,Month-to-month,True,70.15,268.35,Fiber optic
4443-EMBNA,71,,,Two year,False,24.75,1836.9,No
6469-MRVET,1,,,One year,True,20.2,20.2,No
0742-MOABM,4,False,False,Month-to-month,False,50.05,179.35,DSL
5961-VUSRV,12,,,One year,True,19.35,219.35,No
6778-JFCMK,24,True,True,One year,True,50.6,1288.75,DSL
6341-JVQGF,31,True,True,One year,True,81.15,2545.75,DSL
2232-DMLXU,1,True,False,Month-to-month,False,55.2,55.2,DSL
4811-JBUVU,30,False,True,Month-to-month,True,89.9,2723.15,Fiber optic
0945-TSONX,47,True,True,Two year,True,85.3,4107.25,DSL
2651-ZCBXV,54,True,True,Two year,True,108.0,5760.65,Fiber optic
3316-UWXUY,50,False,True,Month-to-month,True,93.5,4747.5,Fiber optic
8937-RDTHP,1,False,True,Month-to-month,True,84.6,84.6,Fiber optic
7083-MIOPC,72,,,Two year,False,20.25,1566.9,No
1984-GPTEH,29,,,Month-to-month,False,25.15,702.0,No
1251-KRREG,2,False,False,Month-to-month,True,54.4,114.1,DSL
0621-JFHOL,10,False,False,Two year,True,29.6,299.05,DSL
9903-LYSAB,18,False,False,Month-to-month,True,73.15,1305.95,Fiber optic
0094-OIFMO,11,True,True,Month-to-month,True,95.0,1120.3,Fiber optic
9227-UAQFT,16,,,Two year,False,19.75,284.35,No
7301-ABVAD,72,True,True,Two year,False,86.6,6350.5,DSL
6614-FHDBO,72,True,True,Two year,False,109.2,7878.3,Fiber optic
7576-ASEJU,41,True,True,One year,True,74.7,3187.65,DSL
9058-HRZSV,65,False,True,Month-to-month,False,94.4,6126.15,Fiber optic
4522-AKYLR,13,False,False,Month-to-month,True,54.8,731.3,DSL
0221-WMXNQ,4,False,False,Month-to-month,False,75.35,273.4,Fiber optic
0303-UNCIP,41,False,True,One year,False,65.0,2531.8,DSL
9947-OTFQU,15,False,False,Month-to-month,True,74.4,1074.3,Fiber optic
0322-YINQP,1,False,False,Month-to-month,True,48.55,48.55,DSL
0959-WHOKV,42,False,True,One year,True,99.0,4298.45,Fiber optic
4075-JFPGR,51,True,False,One year,True,93.5,4619.55,Fiber optic
4629-NRXKX,2,False,False,Month-to-month,False,70.4,147.15,Fiber optic
9514-JDSKI,1,True,False,Month-to-month,False,40.2,40.2,DSL
3282-ZISZV,32,True,True,One year,False,83.7,2633.3,DSL
3675-YDUPJ,10,,,Month-to-month,True,19.85,193.05,No
4111-BNXIF,67,True,True,Two year,True,59.55,4103.9,DSL
7017-VFHAY,61,True,True,Two year,False,115.1,7008.15,Fiber optic
6655-LHBYW,50,True,True,One year,False,114.35,5791.1,Fiber optic
4959-JOSRX,2,False,False,Month-to-month,True,44.6,80.55,DSL
5046-NUHWD,29,False,True,Month-to-month,True,45.0,1228.65,DSL
7273-TEFQD,3,False,True,Month-to-month,True,41.15,132.2,DSL
3606-TWKGI,13,True,True,Month-to-month,True,106.9,1364.3,Fiber optic
7529-ZDFXI,57,False,True,Month-to-month,True,89.85,4925.35,Fiber optic
7605-BDWDC,31,False,True,Two year,True,49.85,1520.1,DSL
1950-KSVVJ,45,True,True,One year,False,113.3,5032.25,Fiber optic
0123-CRBRT,61,True,True,Two year,False,88.1,5526.75,DSL
6292-TOSSS,50,,,Two year,False,24.9,1195.25,No
3197-ARFOY,19,True,True,Month-to-month,True,105.0,2007.25,Fiber optic
6323-AYBRX,59,,,Two year,False,19.35,1099.6,No
7014-ZZXAW,71,,,Two year,True,24.25,1732.95,No
4385-GZQXV,16,True,True,Month-to-month,True,94.45,1511.2,Fiber optic
7633-MVPUY,57,False,False,Two year,True,59.75,3450.15,DSL
6366-ZGQGL,1,False,False,Month-to-month,False,24.8,24.8,DSL
4716-HHKQH,20,True,True,Month-to-month,False,107.05,2172.05,Fiber optic
5940-AHUHD,1,False,False,Month-to-month,False,70.6,70.6,Fiber optic
6432-TWQLB,5,False,False,Month-to-month,True,85.4,401.1,Fiber optic
4484-GLZOU,52,True,True,Month-to-month,True,105.05,5624.85,Fiber optic
3179-GBRWV,21,False,True,Month-to-month,True,64.95,1339.8,DSL
8645-KWHJO,14,True,True,Month-to-month,True,55.0,771.95,DSL
4130-MZLCC,5,False,False,Month-to-month,False,50.55,244.75,DSL
0314-TKOSI,6,False,False,Month-to-month,False,55.15,322.9,DSL
8229-MYEJZ,10,False,False,Month-to-month,False,51.2,498.25,DSL
2080-SRCDE,1,,,Month-to-month,False,25.4,25.4,No
9577-WJVCQ,68,False,False,Month-to-month,False,54.45,3687.75,DSL
9512-UIBFX,18,True,True,Month-to-month,False,95.15,1779.95,Fiber optic
6202-DYYFX,22,False,False,One year,True,76.0,1783.6,Fiber optic
3808-HFKDE,20,False,False,Month-to-month,True,44.35,927.15,DSL
5583-SXDAG,1,False,False,Month-to-month,False,70.0,70.0,Fiber optic
3488-PGMQJ,8,False,False,Month-to-month,True,74.5,606.55,Fiber optic
3580-REOAC,10,False,False,Month-to-month,True,44.85,435.4,DSL
7534-BFESC,24,False,False,Month-to-month,True,76.1,1712.7,Fiber optic
3727-OWVYD,35,False,False,One year,False,61.2,2021.2,DSL
2294-SALNE,23,False,False,One year,False,86.8,1940.8,Fiber optic
4847-TAJYI,6,True,True,Month-to-month,True,89.35,567.8,Fiber optic
1563-IWQEX,12,,,Month-to-month,False,19.7,220.35,No
8203-XJZRC,1,,,Month-to-month,False,20.25,20.25,No
6556-DBKZF,71,False,False,Two year,False,76.05,5436.45,Fiber optic
6851-WEFYX,35,True,True,Month-to-month,True,100.8,3437.5,Fiber optic
2985-JUUBZ,40,True,True,Month-to-month,True,74.55,3015.75,DSL
6390-DSAZX,1,False,False,Month-to-month,True,73.6,73.6,Fiber optic
0895-LMRSF,23,True,True,One year,True,64.9,1509.8,DSL
8098-LLAZX,4,True,True,Month-to-month,True,95.45,396.1,Fiber optic
8266-VBFQL,4,False,True,Month-to-month,True,90.4,356.65,Fiber optic
8181-YHCMF,68,True,True,Two year,False,60.3,4109.0,DSL
2240-HSJQD,38,False,False,Month-to-month,True,81.85,3141.7,Fiber optic
1248-DYXUB,52,,,Two year,False,24.8,1229.1,No
0265-EDXBD,32,False,False,Month-to-month,True,74.9,2303.35,Fiber optic
4115-BNPJY,29,True,True,Two year,False,75.55,2054.4,DSL
3167-SNQPL,38,True,True,Month-to-month,False,101.15,3741.85,Fiber optic
4091-TVOCN,48,True,True,One year,True,78.75,3682.45,DSL
1098-TDVUQ,1,,,Month-to-month,True,19.25,19.25,No
7277-OZCGZ,22,False,True,Month-to-month,True,89.05,1886.25,Fiber optic
1557-EMYVT,43,True,True,Two year,False,115.05,4895.1,Fiber optic
2799-ARNLO,5,False,False,Month-to-month,True,69.35,341.6,Fiber optic
7563-BIUPC,5,True,False,Month-to-month,True,80.6,415.55,Fiber optic
5027-YOCXN,51,True,True,One year,False,110.05,5686.4,Fiber optic
3973-SKMLN,71,,,Two year,True,19.9,1355.1,No
2321-OMBXY,38,True,True,One year,False,80.3,3058.65,DSL
2840-XANRC,24,True,True,Month-to-month,True,93.15,2231.05,Fiber optic
6745-JEFZB,35,True,False,Month-to-month,True,91.5,3236.35,Fiber optic
5020-ZSTTY,54,True,True,One year,False,82.45,4350.1,DSL
9880-TDQAC,72,True,True,Two year,True,60.0,4264.0,DSL
8705-WZCYL,1,False,False,Month-to-month,True,44.8,44.8,DSL
7102-JJVTX,9,False,False,One year,False,48.6,422.3,DSL
8626-PTQGE,69,True,True,Two year,True,60.05,4176.7,DSL
4983-CLMLV,52,True,True,Month-to-month,True,102.7,5138.1,Fiber optic
5701-YVSVF,11,True,False,Month-to-month,True,82.9,880.05,Fiber optic
5804-LEPIM,2,False,False,Month-to-month,True,70.35,139.05,Fiber optic
5697-GOMBF,28,True,False,Month-to-month,True,35.9,973.65,DSL
2739-CACDQ,17,False,False,Month-to-month,True,82.65,1470.05,Fiber optic
9385-EHGDO,35,,,Two year,True,19.85,739.35,No
9498-FIMXL,8,,,One year,True,19.2,161.95,No
2379-GYFLQ,46,True,False,One year,True,94.9,4422.95,Fiber optic
0122-OAHPZ,7,False,False,Month-to-month,True,73.85,511.25,Fiber optic
2868-SNELZ,2,False,False,Month-to-month,False,80.6,155.8,Fiber optic
4322-RCYMT,68,False,True,One year,True,75.8,5293.95,DSL
6680-NENYN,43,True,True,Two year,True,104.6,4759.85,Fiber optic
2088-IEBAU,68,True,True,Two year,True,88.15,6148.45,DSL
7982-VCELR,36,True,True,Month-to-month,True,94.8,3565.65,Fiber optic
1343-EHPYB,63,True,True,Month-to-month,True,103.4,6603.0,Fiber optic
6035-BXTTY,32,False,False,Month-to-month,False,54.65,1830.1,DSL
6885-PKOAM,71,True,True,Two year,False,85.75,6223.8,DSL
7520-HQWJU,66,False,False,Month-to-month,True,67.45,4508.65,DSL
9639-BUJXT,63,,,One year,False,20.5,1328.15,No
5924-SNGKP,41,,,One year,True,20.25,865.0,No
0021-IKXGC,1,False,False,Month-to-month,True,72.1,72.1,Fiber optic
2034-GDRCN,2,True,True,Month-to-month,True,90.4,168.2,Fiber optic
8966-SNIZF,70,,,Two year,False,19.45,1303.5,No
6243-OZGFH,23,True,True,Month-to-month,True,44.95,996.85,DSL
4654-DLAMQ,64,False,True,One year,False,97.0,6430.9,Fiber optic
0513-RBGPE,37,False,False,Two year,True,62.8,2278.75,DSL
5160-UXJED,17,False,False,One year,False,44.6,681.4,DSL
4115-NZRKS,7,True,True,Month-to-month,True,89.15,574.35,Fiber optic
0219-YTZUE,4,False,False,Month-to-month,True,84.8,371.9,Fiber optic
0623-IIHUG,21,True,False,Month-to-month,True,41.9,840.1,DSL
4572-DVCGN,10,False,True,Month-to-month,True,80.25,846.0,Fiber optic
3351-NGXYI,16,False,False,Month-to-month,True,54.1,889.0,DSL
8984-EYLLL,64,True,True,Two year,True,105.25,6823.4,Fiber optic
9057-MSWCO,27,False,False,Month-to-month,False,30.75,805.1,DSL
9833-TGFHX,42,True,True,One year,False,97.1,4016.75,Fiber optic
9294-TDIPC,5,,,Month-to-month,False,20.2,83.75,No
5229-DTFYB,41,True,True,Two year,True,98.8,3959.15,Fiber optic
0104-PPXDV,58,False,False,One year,False,50.3,2878.55,DSL
5176-LMJXE,47,,,Two year,True,20.55,945.7,No
3583-KRKMD,18,False,False,Month-to-month,True,75.9,1373.05,Fiber optic
1010-DIAUQ,5,True,True,Month-to-month,False,96.5,492.55,Fiber optic
9069-LGEUL,23,False,True,Month-to-month,True,59.95,1406.0,DSL
7302-ZHMHP,1,,,Month-to-month,False,19.15,19.15,No
9571-EDEBV,71,True,True,One year,True,98.65,6962.85,Fiber optic
3520-FJGCV,72,True,True,Two year,True,112.6,8126.65,Fiber optic
6563-VRERX,33,,,One year,False,20.6,690.25,No
0259-GBZSH,2,True,False,Month-to-month,True,85.65,181.5,Fiber optic
6122-EFVKN,24,False,False,Two year,False,35.75,830.8,DSL
2805-EDJPQ,56,False,True,One year,True,99.75,5608.4,Fiber optic
6862-CQUMB,37,True,True,Month-to-month,True,96.1,3646.8,Fiber optic
7156-MXBJE,43,True,True,One year,False,85.1,3662.25,DSL
6158-HDPXZ,1,False,False,Month-to-month,False,25.35,25.35,DSL
9601-BRXPO,25,True,True,Month-to-month,True,104.95,2566.5,Fiber optic
2863-IMQDR,61,True,True,Two year,False,89.65,5308.7,DSL
5686-CMAWK,17,False,False,One year,False,86.75,1410.25,Fiber optic
5651-CRHKQ,41,False,False,One year,True,86.2,3339.05,Fiber optic
6905-NIQIN,1,False,False,Month-to-month,False,50.65,50.65,DSL
8204-YJCLA,72,True,True,Two year,True,64.8,4732.35,DSL
5167-ZFFMM,1,False,True,Month-to-month,True,90.85,90.85,Fiber optic
6583-SZVGP,48,True,True,Two year,True,108.1,5067.45,Fiber optic
4895-TMWIR,11,,,Month-to-month,False,19.95,214.75,No
0533-BNWKF,55,False,False,Month-to-month,True,85.45,4874.7,Fiber optic
1708-PBBOA,42,False,True,One year,True,54.75,2348.45,DSL
